;title;tag;date;text;is_question;id
24;;['felsőoktatás', 'szakkollégium', 'MCC', 'Szent Ignác Jezsuita Szakkollégium', 'Szent Ignác Szakkollégium'];febr. 23. 08:17;Másodikra nem tudom, de harmadikra biztosan csak azt hívják be, aki esélyes. Így legkésőbb a második után biztosan szólnak, hogy érdemes-e menni vagy sem.;False;10908121
25;"A Hársfába (Korányi Frigyes Szakkollégium) való
felvételhez kell valamilyen nyelvből egy középfokú
komplex nyelvvizsga?";['nyelvvizsga', 'SOTE', 'hársfa', 'Korányi Frigyes Szakkollégium'];2016. aug. 4. 18:34;"Régebben úgy emlékszem, hogy olvastam erről, viszont most a jelentkezésnél sehol nem látom ezt.
";True;7998008
26;;['nyelvvizsga', 'SOTE', 'hársfa', 'Korányi Frigyes Szakkollégium'];2016. aug. 4. 18:52;"Nem kell, még csak okosnak se kell lenned, a fejed alapján fognak felvenni nem a tudásod vagy jegyek szerint.

Ha a táborban bevágódsz vagy csak jól nézel ki felvesznek.";False;7998008
27;;['nyelvvizsga', 'SOTE', 'hársfa', 'Korányi Frigyes Szakkollégium'];2018. máj. 20. 16:19;"Kedves kérdező (és bárki aki olvassa)!

Bár már jó sok idő eltelt a kérdés feltevése óta, biztosíthatlak, hogy az előző válaszoló téved.

Szükséges a nyelvvizsga a felvételihez. A felvételi fő szempontjai a tudományos érdeklődés, ambíciók, hivatástudat, valamint a kommunikációs készségek.

Üdv,
egy 4. éves szakkollégista";False;7998008
28;;['nyelvvizsga', 'SOTE', 'hársfa', 'Korányi Frigyes Szakkollégium'];2018. jún. 29. 18:47;"Csak az angolt
fogadják el?";False;7998008
29;"Szakkollégiumba való felvételhez önéletrajzot kérnek.
Mit lehetne beleírni?";;2020. júl. 29. 20:10;;True;10618580
30;;;2020. júl. 29. 22:08;Személyes adatok, iskolák, nyelvvizsgàk, versenyeredmények, konferenciák, demonstrátorság, diákköri tagság pl. Ilyen jellegű dolgokra kíváncsiak.;False;10618580
31;A budapesti Márton Áron Szakkollégiumról vélemények?;;2013. aug. 1. 23:18;"Akik ott laknak, vagy laktak már ott, azoktól kérdezem. Minden érdekel!
";True;4665128
32;"Szerintetek ki lehetne rúgni egy szakkollégiumi igazgatót
vagy legalábbis fegyelmit indítani ellene amiatt, hogy
pofára dönt az emberek sorsáról, nem objektív dolgok
alapján, illetve amiért sokat személyeskedik?";;2013. jan. 4. 17:43;;True;3837764
33;;;2013. jan. 5. 09:06;Hát eredménye nem nagyon szokott lenni az ilyen ügyeknek sajnos... Viszont bizonyíték nélkül semmiképpen. Elvileg fegyelmit lehetne ellene indítani, de ebben a kérdésben egy jogászt kellene felkeresned.;False;3837764
34;;;2016. máj. 15. 22:02;"Felettesét, kinevezőjét kell meggyőzöd arról, hogy amit az illetó szakkollégiumi igazgató tesz (téves ítéletek alapján), az árt a munkahelyi munka minőségének.
Tudd mi alapján értékelik a munkahelyet és ebből kiindulva érvelj.";False;3837764
35;Pontosan mi a szakkollégium?;['egyetem', 'Szeged', 'TTIK'];2019. máj. 27. 20:47;"SZTE TTIK kara hirdet egy tábort a Móra Szakkollégiumba, és nem tudom, hogy megéri e elmenni? 17 eves vagyok es Programtervező informatikára szeretnék jelentkezni Szegedre, szóval nem tudom ez a tanor megeri e nekem?
";True;9906728
36;"A Kunigunda úti Márton Áron Szakkollégiummal
kapcsolatban tudna írni nekem valaki?";;2014. aug. 12. 17:37;"Főleg az elhelyezés, a szobák, tusolók, stb. érdekelnek és hogy mennyire lehet találni nyugis környezetet.
";True;5989903
37;SZTE szakkollégiumok?;['egyetem', 'kollégium', 'SZTE', 'szociológia', 'szakkollégium', 'Bölcsészettudományi Kar'];2019. jún. 2. 09:34;"Idén elég valószínű, hogy a szegedi egyetemen folytathatom a tanulmányaimat, és ehhez szeretnék bővebb információt kapni a hozzátartozó szakkolikról.
Szociológiára mennék, és olvastam, hogy a BTK-nak nincs külön szakkollégiuma, így csak karközibe tudok jelentkezni. Hallottam a Móráról, meg az Eötvösről is, ahova jelentkezhetnék, de találtam egy ilyet is:
 [link] 
Elsősorban nyilván nagyon örülnék személyes tapasztalatoknak, de írjon nyugodtan bárki, ha tud ezekről valamit!
";True;9915174
38;TDK, szakkollégium, szakmához kapcsolódó önkéntesség?;;2013. ápr. 2. 22:19;"Ezek mennyire nyomnak a latban?
Különböző előadások látogatása a szakmához kapcsolódó témákban, hasonló területen dolgozók megismerése?

Mennyire szívnak le? Ha ilyesmiket csinálok, kikapcsolódásnak vagy tehernek fogom érezni?

Megéri?
";True;4190682
39;;;2013. ápr. 2. 22:40;"Nyilván nagyon megéri.
TDK, OTDK helyezettnek lenni eléggé felemelő érzés, ha ezt eléred, akkor joggal lehetsz büszke magadra.
A szakkollégium is fontos, nagyon sokat ad szakmailag, a munkaadók is kedvelik előszeretettel. Vannak Magyarországon eléggé elit szakkolik, ahonnan tényleg elég magas szinten elért emberek kerültek ki. Bibó, Rajk, szisz stb.
Önkénetesség alatt talán a gyakorlati munkát érted, nyilván érdemes és kell is csinálni, egy sima diploma önmagában nem ér semmit.";False;4190682
40;;;2013. ápr. 2. 22:42;"Vannak civil szervezetek. Nemcsak szociálisak, hanem állatvédelem, természetvédelem, környezetvédelem stb-stb.
Az ezeknél való önkéntességre gondoltam.";False;4190682
41;"Mit tudtok a Biztonsagpolitikai Szakkollegiumrol? Tagja itt
valaki neki? Mil, em kurzusok vannak? Milyen elonyokkel
(esetleg hatranyokkal jar a tagsag)? Mik az elvarasok a
tagok fele (pl. Kotelezo programok, tanulnivalok)?";['egyetem', 'felsőoktatás', 'szakkollégium', 'biztonságpolitika', 'biztonsagpolitikai'];2014. szept. 29. 18:11;;True;6146620
42;Hogy mondják angolul azt, hogy szakkollégium?;;2011. dec. 1. 16:02;"Tudom, hogy a college és a dormitory/dorm az nagyjából ezt jelenti, de most feltétlenül pontos meghatározásra lenne szükségem! Köszi előre is a válaszokat!
";True;2425632
43;;;2011. dec. 2. 16:08;Technical College;False;2425632
44;;;2011. dec. 3. 11:05;Köszi szépen! Már special college-t írtam:D Remélem nem lesz belőle gáz.;False;2425632
45;;;2011. dec. 3. 11:08;"Hat sajnos akkor rosszat irtal.  Olyan nincs hogy ""special college"", vagy legalabbis nem utal a szakkollegiumra.";False;2425632
46;;;2011. dec. 4. 12:05;Áh, túlélem:) Köszi, megjegyzem, hogy hogy helyes!;False;2425632
47;;;2014. ápr. 3. 20:55;"Bár nagyon utólag jön a válasz, de az első válasz rossz volt.
A szakkollégium, ha arra gondolsz, hogy a szokásos tanterveken felül még valamit hozzáad plusz oktatásként egy felsőoktatásban tanuló diák tudásához (mint a Matthias Corvinus Coll, vagy Bibó SZakkoll,stb), akkor azt angolul College for Advanced Studies-nak szokták fordítani";False;2425632
48;"Budapesttől 2 órányira lakó, minimálbéres szülők
egyke gyerekeként mik lennének a lakhatási lehetőségek
számomra? (SZTE-GYTK)";['kollégium', 'SZTE', 'Szegedi Tudományegyetem', 'Szegedi Egyetem', 'szakkollégium', 'SZTE-GYTK', 'gyógyszerésztudományi kar gyógyszerész', 'öthalmi lakás'];2012. dec. 25. 12:52;"Az albérlet kilőve, azt nem tudnánk fizetni sajnos.
Marad a szakkollégium (ha a Gyógyszerésztudományi Karnak van egyáltalán, ezt nem tudom pontosan), az Öthalmi Lakások és a kollégium, de nem tudom, ott milyenek a körülmények, mennyire lehet ott tanulni.

Mit ajánlanátok? Van esélyem bekerülni valamelyikbe, vagy csak a nálam hátrányos helyzetűbb diákok nyernek felvételt?

Köszi a segítséget!  :)
";True;3795867
49;;['kollégium', 'SZTE', 'Szegedi Tudományegyetem', 'Szegedi Egyetem', 'szakkollégium', 'SZTE-GYTK', 'gyógyszerésztudományi kar gyógyszerész', 'öthalmi lakás'];2012. dec. 25. 12:59;"




 [link] 


ehhez szociális helyzetfelmérő adatlapot kell kitölteni, ebből jönni fog egy pontszám, és ez alapján fognak felvenni (hasonló mint az egyetemi felvételi).

nem tudom, h fel fognak e venni (én TTIK-s vagyok, ugye mi csak karközi koleszokba mehetünk).
nem akarok egy kollégiumot se fikázni, DE: arra figyelj, hogy az Öthalmi Lakásoknak két része van, az egyik a csilli-villi (amit a neten reklámoznak h nem rég lett felújítva), a másik a ""nem csilli-villi"" rész. és a csilli-villi részbe elsőéveseket nem vesznek fel.
de ha se a Semmelweis koli, se az Öthalmi nem jön össze, akk jelentkezz a Károlyi koleszba (karközi). az ország legnagyobb kollégiuma, 800 fős. sok minden terjeng róla, h elég zülött, nem lehet tanulni stb. de ez egyáltalán nem így van. ha akarsz tanulni, akk úgyis tanulni fogsz.";False;3795867
50;;['kollégium', 'SZTE', 'Szegedi Tudományegyetem', 'Szegedi Egyetem', 'szakkollégium', 'SZTE-GYTK', 'gyógyszerésztudományi kar gyógyszerész', 'öthalmi lakás'];2012. dec. 25. 13:01;"ui.: azért ajánlom a Károlyit, mert:
1. én is oda járok
2. nem vettek fel első körbe a Móra koleszba, utána rögtön felvettek a Károlyiba (elég nagy a befogadó képessége, oda fel fognak venni elég nagy valószínűséggel).";False;3795867
51;Hány szakkollégiumnak lehet egy diák egyszerre tagja?;['egyetem', 'tag', 'felsőoktatás', 'ELTE', 'ELTE-ÁJK', 'szakkollégium'];2019. júl. 14. 12:30;"Nemigen találtam választ rá fórumokon (ha mégis van, nagyon megköszönném, ha belinkelnétek), de felvetődött bennem a kérdés, miszerint adott esetben lehet-e pl. két szakkollégiumnak is tagja egy diák (amennyiben mindkettőbe felvételt nyer, persze).

A válaszokat előre is köszönöm!
";True;9984482
52;;['egyetem', 'tag', 'felsőoktatás', 'ELTE', 'ELTE-ÁJK', 'szakkollégium'];2019. júl. 16. 08:48;"Szia!
Nálunk a Corvinuson, ha az adott évben nem vettek fel oda ahova jelentkeztél, akkor abban az évben más szakkollégiumokba már a jelentkezésedet sem fogadják el. Szóval ezek alapján én ki merném jelenteni, hogy egyszerrel legfeljebb egynek lehetsz a tagja.";False;9984482
53;;['egyetem', 'tag', 'felsőoktatás', 'ELTE', 'ELTE-ÁJK', 'szakkollégium'];2019. júl. 23. 23:13;ELTE-ÁJK-t látok a címkék között, szóval gondolom Bibó és Eötvös?? Tudtommal az Eötvöst nem zavarja egyáltalán az ilyesmi.;False;9984482
54;;['egyetem', 'tag', 'felsőoktatás', 'ELTE', 'ELTE-ÁJK', 'szakkollégium'];2019. júl. 25. 14:13;"Nagyon köszönöm a válaszokat, igen, az Eötvös és a Bibó érdekelne.

Előbbi honlapján még szerepel is, hogy nem okoz problémát más kollégiumokkal fennálló tagsági viszony, itt a Bibó az, amelyről kevesebb infó van fenn e tekintetben.";False;9984482
55;;['egyetem', 'tag', 'felsőoktatás', 'ELTE', 'ELTE-ÁJK', 'szakkollégium'];2019. júl. 25. 17:26;Bocsi, a Bibót én sem tudom, Eötvös-Bolyais TTK-sokat ismerek.;False;9984482
56;"Mi a véleményetek a SE Korányi Frigyes Szakkollégiumról
(Hársfa)?";['Semmelweis', 'kollégium', 'Korányi', 'hársfa', 'szakkollégium'];2015. aug. 28. 21:53;"Érdemes-e oda jelentkezni, jó-e ott a közösség, marad-e mellette szabadidő?
";True;7163156
57;Hogy lehet bekerülni a győri Batthyányi Szakkolégiumba?;['egyetem', 'Széchenyi', 'szakkollégium'];2019. júl. 26. 21:52;"Milyen pontok számítanak? Mikor van a felvételi?
";True;10005724
58;"Mikor kell beköltözni a magyarországi szakkollégiumokba?
(Konkrétan a pécsi Márton Áron Szakkollégium
érdekelne)";;2018. júl. 10. 01:21;"Külföldről megyek Magyarországra tanulni, ezért nem tudom pontosan, hogy mikor kell ezt megejteni. Annyiről értesültem, hogy a félév szeptember 3-án kezdődik. Az első hét már rendes tanítási hét szokott lenni?
";True;9401159
59;"Szakkollégium szóbeli felvételin milyen kérdések
vannak? Milyen témák kerülnek elő?";;2012. júl. 18. 23:51;;True;3208149
60;;;2012. júl. 19. 06:54;Attól függ, melyik szakkollégiumba szeretnél jelentkezni. Orvosi, fizikai, egyéb tudományos, esetleg valami más? mert így sokféle lehet :D;False;3208149
61;Mi a véleményetek a Corvinus egyetem szakkolégiumairól?;['kollégium', 'Corvinus', 'fakultáció', 'közgáz', 'BCE', 'szakkollégium', 'TEK'];2016. febr. 18. 19:40;"Kiváncsi vagyok személyes tapasztalatokra. S nagyon örülnék ha valaki válaszolna :D Két puszi lenne a jutalma ;)
Érdekel mind a szakkoliról alkotott vélemény
Valaki felvilágosítani, kérlek titeket:D
20L
";True;7592406
62;Szakkollégiumokba hanyadik félévtől lehet bekerülni?;['felvételi', 'szakkollégium'];2014. szept. 6. 11:03;;True;6075778
63;"Van aki idén jelentkezett a Szent Ignác Jezsuita
Szakkollégiumba?";['ELTE', 'PPKE', 'BCE', 'szakkollégium', 'Szent Ignác Jezsuita Szakkollégium'];febr. 22. 20:28;"Küldtek már valakinek értesítést, hogy bekerült-e a második fordulóba? Ilyenkor mindenkinek írnak emailt, vagy csak a továbbjutóknak?
";True;10983477
64;"A Márton Áron Szakkollégiumban (BP) csak határon túli
magyarok laknak?";;2011. márc. 3. 15:40;"Ha nem, hogyan lehet bekerülni?
";True;1597996
65;;;2011. márc. 4. 16:55;"Nem, vannak sima ""magyarorszagi"" magyarok is.
Bekerulni ugy lehet hogy jelentkezel a koliba. Elerhetoseget pedig itt talalsz, ahol megtudod kerdezni hogy mikor es hogy kell jelentkezni:  [link] ";False;1597996
66;;;2011. márc. 5. 09:36;Köszönöm;False;1597996
67;"Győri egyetemistáknak, milyen nem! Szakkollégiumok
állnak a rendelkezésre? Tehát ami szociális helyzet
alapján kerül kiosztásra";['Győr'];2013. máj. 26. 18:35;;True;4392940
68;"Heller Farkas szakkoliról vélemények? Van oylan elit,
mint az MCC vagy Rajk?";['egyetem', 'Corvinus', 'közgáz', 'GTK', 'pénzügy és számvitel', 'szakkollégium', 'Mathias Corvinus'];2013. aug. 20. 16:32;;True;4741683
69;;['egyetem', 'Corvinus', 'közgáz', 'GTK', 'pénzügy és számvitel', 'szakkollégium', 'Mathias Corvinus'];2016. jún. 8. 21:22;"Rajk nem elit.
Jópár éve csúszik lefelé sajnos.
MCC-sektől hallottam már hogy a Hellert dicsérik és fordítva is.";False;4741683
70;Az Eötvös Collegiumban vasszigor van?;['kollégium', 'ELTE', 'szakkollégium'];2015. júl. 27. 15:40;"Most vettek fel mesterképzésre az ELTÉ-n, és megfordult a fejemben, hogy jelentkezzek az EC-be. A külön kurzusok, nyelvtanulás nem riasztana vissza, viszont én szeretek eljárni bulizni is. Ötösre diplomáztam, jók voltak a jegyeim, de nagy ritkán velem is megesik, hogy a hajnali - reggeli órákban részegen támolyogva esek vissza a kollégiumi szobámba. Ez csak egy példa akart lenni, de ilyesmikért pl. kicsapás jár a Collegiumból?
";True;7066109
71;"A Banda Kálmán Szakkollégiumban muszáj valamilyen
""szakkörre"", kutató csoportba járni?";;2018. aug. 7. 16:02;;True;9452826
72;;;2018. aug. 7. 16:03;*Benda;False;9452826
73;;;2018. aug. 7. 18:48;Szia! Igen, feltétele a szakkollégiumnak valamelyik műhelyben való részvétel. Ezen kívül van összesen 4 a kollégium által kínált kurzus, amelyek közül félévenként egyet kötelező felvenni,illetve egy nyelvet legalább b2-es szinten tanulni. Ha van még kérdésed írj bátran :);False;9452826
74;;;2018. aug. 9. 15:11;Ezeken a kurzusokon milyen gyakori az órák száma? Vagy hogy működik egyáltalán?;False;9452826
75;"Jogász képzésen szakkollégium érdemes megpróbálni
ebben a helyzetben?";['jogász', 'PPKE', 'képzés', 'szakkollégium', 'MCC'];nov. 20. 07:12;"Elég speciális a helyzetem, mert jelenleg a PPKE-n vagyok, de nem itt kezdtem a tanulmányaimat (ez a 3.évem jogász képzésben, a Pázmányon a 2.). Nagyon bánom, hogy nem próbáltam meg csatlakozni tavaly az MCC-hez vagy a JÖSz-höz. Ebben a helyzetben szerintetek érdemes lenne még próbálkozni vagy engedjem el a dolgot? (Több tárgyam visszamaradt, és van amit pótolnom is kell utólag, így több másodéves tárgyam is van.) A JÖSz-höz még lehet harmadévesként is jelentkezni... De bizonytalan vagyok. Esetleg van itt valaki aki valamelyik szakkoli tagja és szívesen mesélne róla (eljárás menete, mennyire nehéz bekerülni, stb.)?
";True;10805435
76;;['jogász', 'PPKE', 'képzés', 'szakkollégium', 'MCC'];nov. 20. 07:28;Iskolától, témakörtől független tanács: mi a legrosszabb, ami történhet ha jelentkezel? Lehet hogy nem kerülsz be és bánni fogod. De akkor biztos nem kerülsz be, ha meg sem próbálod, és megintcsak bánni fogod. Ahogy írod, már most is bánod, hogy korábban nem jelentkeztél. Ugyanez igaz pl. egy álláshirdetésre is, ahol nem felelsz meg minden követelménynek.;False;10805435
